month,year,month_num,has_federal_holiday,mn_only_holiday,holiday_season,summer_season,spring_break,fall_break,winter_break,la_event_season
2014-01,2014,1,1,0,0,0,0,0,1,0
2014-02,2014,2,0,0,0,0,0,0,0,1
2014-03,2014,3,0,0,0,0,1,0,0,1
2014-04,2014,4,0,0,0,0,1,0,0,0
2014-05,2014,5,0,0,0,0,0,0,0,0
2014-06,2014,6,0,0,0,1,0,0,0,1
2014-07,2014,7,0,0,0,1,0,0,0,0
2014-08,2014,8,0,0,0,1,0,0,0,0
2014-09,2014,9,1,0,0,0,0,0,0,1
2014-10,2014,10,0,1,0,0,0,1,0,0
2014-11,2014,11,0,0,1,0,0,0,0,0
2014-12,2014,12,0,0,1,0,0,0,1,0
2015-01,2015,1,1,0,0,0,0,0,1,0
2015-02,2015,2,0,0,0,0,0,0,0,1
2015-03,2015,3,0,0,0,0,1,0,0,1
2015-04,2015,4,0,0,0,0,1,0,0,0
2015-05,2015,5,0,0,0,0,0,0,0,0
2015-06,2015,6,0,0,0,1,0,0,0,1
2015-07,2015,7,0,0,0,1,0,0,0,0
2015-08,2015,8,0,0,0,1,0,0,0,0
2015-09,2015,9,0,0,0,0,0,0,0,1
2015-10,2015,10,0,1,0,0,0,1,0,0
2015-11,2015,11,0,0,1,0,0,0,0,0
2015-12,2015,12,0,0,1,0,0,0,1,0
2016-01,2016,1,1,0,0,0,0,0,1,0
2016-02,2016,2,0,0,0,0,0,0,0,1
2016-03,2016,3,0,0,0,0,1,0,0,1
2016-04,2016,4,0,0,0,0,1,0,0,0
2016-05,2016,5,0,0,0,0,0,0,0,0
2016-06,2016,6,0,0,0,1,0,0,0,1
2016-07,2016,7,0,0,0,1,0,0,0,0
2016-08,2016,8,0,0,0,1,0,0,0,0
2016-09,2016,9,0,0,0,0,0,0,0,1
2016-10,2016,10,0,1,0,0,0,1,0,0
2016-11,2016,11,0,0,1,0,0,0,0,0
2016-12,2016,12,0,0,1,0,0,0,1,0
2017-01,2017,1,1,0,0,0,0,0,1,0
2017-02,2017,2,0,0,0,0,0,0,0,1
2017-03,2017,3,0,0,0,0,1,0,0,1
2017-04,2017,4,0,0,0,0,1,0,0,0
2017-05,2017,5,0,0,0,0,0,0,0,0
2017-06,2017,6,0,0,0,1,0,0,0,1
2017-07,2017,7,0,0,0,1,0,0,0,0
2017-08,2017,8,0,0,0,1,0,0,0,0
2017-09,2017,9,0,0,0,0,0,0,0,1
2017-10,2017,10,0,1,0,0,0,1,0,0
2017-11,2017,11,0,0,1,0,0,0,0,0
2017-12,2017,12,0,0,1,0,0,0,1,0
2018-01,2018,1,1,0,0,0,0,0,1,0
2018-02,2018,2,0,0,0,0,0,0,0,1
2018-03,2018,3,0,0,0,0,1,0,0,1
2018-04,2018,4,0,0,0,0,1,0,0,0
2018-05,2018,5,0,0,0,0,0,0,0,0
2018-06,2018,6,0,0,0,1,0,0,0,1
2018-07,2018,7,0,0,0,1,0,0,0,0
2018-08,2018,8,0,0,0,1,0,0,0,0
2018-09,2018,9,0,0,0,0,0,0,0,1
2018-10,2018,10,0,1,0,0,0,1,0,0
2018-11,2018,11,0,0,1,0,0,0,0,0
2018-12,2018,12,0,0,1,0,0,0,1,0
2019-01,2019,1,1,0,0,0,0,0,1,0
2019-02,2019,2,0,0,0,0,0,0,0,1
2019-03,2019,3,0,0,0,0,1,0,0,1
2019-04,2019,4,0,0,0,0,1,0,0,0
2019-05,2019,5,0,0,0,0,0,0,0,0
2019-06,2019,6,0,0,0,1,0,0,0,1
2019-07,2019,7,0,0,0,1,0,0,0,0
2019-08,2019,8,0,0,0,1,0,0,0,0
2019-09,2019,9,0,0,0,0,0,0,0,1
2019-10,2019,10,0,1,0,0,0,1,0,0
2019-11,2019,11,0,0,1,0,0,0,0,0
2019-12,2019,12,0,0,1,0,0,0,1,0
2020-01,2020,1,1,0,0,0,0,0,1,0
2020-02,2020,2,0,0,0,0,0,0,0,1
2020-03,2020,3,0,0,0,0,1,0,0,1
2020-04,2020,4,0,0,0,0,1,0,0,0
2020-05,2020,5,0,0,0,0,0,0,0,0
2020-06,2020,6,0,0,0,1,0,0,0,1
2020-07,2020,7,0,0,0,1,0,0,0,0
2020-08,2020,8,0,0,0,1,0,0,0,0
2020-09,2020,9,0,0,0,0,0,0,0,1
2020-10,2020,10,0,1,0,0,0,1,0,0
2020-11,2020,11,0,0,1,0,0,0,0,0
2020-12,2020,12,0,0,1,0,0,0,1,0
2021-01,2021,1,1,0,0,0,0,0,1,0
2021-02,2021,2,0,0,0,0,0,0,0,1
2021-03,2021,3,0,0,0,0,1,0,0,1
2021-04,2021,4,0,0,0,0,1,0,0,0
2021-05,2021,5,0,0,0,0,0,0,0,0
2021-06,2021,6,0,0,0,1,0,0,0,1
