month,year,month_number,museum,visitors,covid_period
2014-01-01,2014,1,Avila Adobe,24778,0
2014-02-01,2014,2,Avila Adobe,18976,0
2014-03-01,2014,3,Avila Adobe,25231,0
2014-04-01,2014,4,Avila Adobe,26989,0
2014-05-01,2014,5,Avila Adobe,36883,0
2014-06-01,2014,6,Avila Adobe,29487,0
2014-07-01,2014,7,Avila Adobe,32378,0
2014-08-01,2014,8,Avila Adobe,37680,0
2014-09-01,2014,9,Avila Adobe,28473,0
2014-10-01,2014,10,Avila Adobe,27995,0
2014-11-01,2014,11,Avila Adobe,25691,0
2014-12-01,2014,12,Avila Adobe,18754,0
2015-01-01,2015,1,Avila Adobe,20438,0
2015-02-01,2015,2,Avila Adobe,15578,0
2015-03-01,2015,3,Avila Adobe,21297,0
2015-04-01,2015,4,Avila Adobe,26670,0
2015-05-01,2015,5,Avila Adobe,34383,0
2015-06-01,2015,6,Avila Adobe,30569,0
2015-07-01,2015,7,Avila Adobe,41242,0
2015-08-01,2015,8,Avila Adobe,30700,0
2015-09-01,2015,9,Avila Adobe,20967,0
2015-10-01,2015,10,Avila Adobe,29764,0
2015-11-01,2015,11,Avila Adobe,24483,0
2015-12-01,2015,12,Avila Adobe,21426,0
2016-01-01,2016,1,Avila Adobe,19659,0
2016-02-01,2016,2,Avila Adobe,17378,0
2016-03-01,2016,3,Avila Adobe,20322,0
2016-04-01,2016,4,Avila Adobe,24521,0
2016-05-01,2016,5,Avila Adobe,31728,0
2016-06-01,2016,6,Avila Adobe,23696,0
2016-07-01,2016,7,Avila Adobe,31689,0
2016-08-01,2016,8,Avila Adobe,25987,0
2016-09-01,2016,9,Avila Adobe,22897,0
2016-10-01,2016,10,Avila Adobe,25040,0
2016-11-01,2016,11,Avila Adobe,17760,0
2016-12-01,2016,12,Avila Adobe,20107,0
2017-01-01,2017,1,Avila Adobe,18792,0
2017-02-01,2017,2,Avila Adobe,14035,0
2017-03-01,2017,3,Avila Adobe,20680,0
2017-04-01,2017,4,Avila Adobe,25234,0
2017-05-01,2017,5,Avila Adobe,30029,0
2017-06-01,2017,6,Avila Adobe,22169,0
2017-07-01,2017,7,Avila Adobe,30831,0
2017-08-01,2017,8,Avila Adobe,27009,0
2017-09-01,2017,9,Avila Adobe,23403,0
2017-10-01,2017,10,Avila Adobe,22164,0
2017-11-01,2017,11,Avila Adobe,17629,0
2017-12-01,2017,12,Avila Adobe,18339,0
2018-01-01,2018,1,Avila Adobe,16265,0
2018-02-01,2018,2,Avila Adobe,14718,0
2018-03-01,2018,3,Avila Adobe,19001,0
2018-04-01,2018,4,Avila Adobe,18966,0
2018-05-01,2018,5,Avila Adobe,25173,0
2018-06-01,2018,6,Avila Adobe,22171,0
2018-07-01,2018,7,Avila Adobe,23136,0
2018-08-01,2018,8,Avila Adobe,20815,0
2018-09-01,2018,9,Avila Adobe,21020,0
2018-10-01,2018,10,Avila Adobe,19280,0
2018-11-01,2018,11,Avila Adobe,17163,0
2018-12-01,2018,12,Avila Adobe,17722,0
2019-01-01,2019,1,Avila Adobe,13958,0
2019-02-01,2019,2,Avila Adobe,10737,0
2019-03-01,2019,3,Avila Adobe,17056,0
2019-04-01,2019,4,Avila Adobe,21074,0
2019-05-01,2019,5,Avila Adobe,26041,0
2019-06-01,2019,6,Avila Adobe,20226,0
2019-07-01,2019,7,Avila Adobe,24097,0
2019-08-01,2019,8,Avila Adobe,20921,0
2019-09-01,2019,9,Avila Adobe,17689,0
2019-10-01,2019,10,Avila Adobe,18822,0
2019-11-01,2019,11,Avila Adobe,15507,0
2019-12-01,2019,12,Avila Adobe,15398,0
2020-01-01,2020,1,Avila Adobe,15518,0
2020-02-01,2020,2,Avila Adobe,12997,0
2020-03-01,2020,3,Avila Adobe,4520,1
2020-04-01,2020,4,Avila Adobe,0,1
2020-05-01,2020,5,Avila Adobe,0,1
2020-06-01,2020,6,Avila Adobe,0,1
2020-07-01,2020,7,Avila Adobe,0,1
2020-08-01,2020,8,Avila Adobe,0,1
2020-09-01,2020,9,Avila Adobe,0,1
2020-10-01,2020,10,Avila Adobe,0,1
2020-11-01,2020,11,Avila Adobe,0,1
2020-12-01,2020,12,Avila Adobe,0,1
2021-01-01,2021,1,Avila Adobe,0,1
2021-02-01,2021,2,Avila Adobe,0,1
2021-03-01,2021,3,Avila Adobe,0,1
2021-04-01,2021,4,Avila Adobe,0,1
2021-05-01,2021,5,Avila Adobe,0,1
2021-06-01,2021,6,Avila Adobe,3710,1
