term,lane,theme
Avila Adobe,museum_specific,museum_brand
Olvera Street,museum_specific,tourism_discovery
Los Angeles museums,discovery_marketing,tourism_discovery
things to do in LA,discovery_marketing,tourism_discovery
things to do in Los Angeles,discovery_marketing,tourism_discovery
historic sites California,discovery_marketing,tourism_discovery
Los Angeles attractions,discovery_marketing,tourism_discovery
Los Angeles history,discovery_marketing,lifestyle_history
family activities Los Angeles,discovery_marketing,family_activity
free museums Los Angeles,discovery_marketing,tourism_discovery
Getty Museum,benchmark,competitor
La Brea Tar Pits,benchmark,competitor
Griffith Observatory,benchmark,competitor
life in the 1840s,discovery_marketing,lifestyle_history
living history museum,discovery_marketing,lifestyle_history
historic house museum,discovery_marketing,lifestyle_history
